Team,Win-Loss Record,Win %,MOV,ATS +/-
TN State,184-256-0,41.8%,-2.6,+0.5
E Carolina,161-225-0,41.7%,-3.3,-0.5
Loyola-MD,167-234-0,41.7%,-3.1,-0.3
Towson,209-295-0,41.5%,-2.9,+0.5
Jacksonville,185-262-0,41.4%,-3.1,-0.1
Sacred Hrt,178-255-1,41.1%,-2.6,0.0
Cal St Nrdge,184-264-0,41.1%,-2.5,-0.5
Lamar,188-271-0,41.0%,-2.9,-0.5
Alab A&M,185-267-0,40.9%,-2.8,-0.3
Coppin St,180-260-0,40.9%,-3.8,-1.0
Brown,178-258-0,40.8%,-2.9,+0.3
IU Indy,187-271-0,40.8%,-3.2,-2.1
Wash State,204-301-0,40.4%,-1.8,+0.2
Elon,171-253-0,40.3%,-4.0,-0.2
Fla Atlantic,180-267-0,40.3%,-2.8,+0.2
Tulane,166-248-0,40.1%,-3.6,-1.0
Prairie View,198-296-1,40.1%,-4.2,+0.8
Youngs St,177-265-0,40.1%,-3.6,-0.2
Marist,139-209-0,39.9%,-3.1,+0.1
DePaul,138-209-0,39.8%,-2.5,-0.5
McNeese St,155-235-0,39.7%,-3.4,-0.8
W Carolina,184-280-0,39.7%,-4.7,-0.5
N Alabama,40-61-0,39.6%,-4.0,-0.1
Idaho,188-287-0,39.6%,-3.4,+0.5
N Arizona,185-284-0,39.5%,-3.5,-0.6
Bryant,117-180-0,39.4%,-3.6,-0.9
E Michigan,189-292-0,39.3%,-4.0,-0.9
Duquesne,142-220-0,39.2%,-2.7,-0.5
St Fran (PA),194-301-0,39.2%,-3.7,-0.7
Central Mich,179-278-0,39.2%,-3.8,-0.2
S Utah,175-272-0,39.2%,-4.0,-0.4
Stetson,175-272-0,39.2%,-4.3,+1.3
CS Bakersfld,99-154-0,39.1%,-2.5,+0.2
Columbia,172-268-0,39.1%,-3.1,-0.3
Evansville,172-270-0,38.9%,-3.5,-0.9
Campbell,171-270-0,38.8%,-4.1,+0.4
Kansas City,184-296-0,38.3%,-4.1,-0.3
Army,166-268-0,38.3%,-4.3,-0.7
Air Force,153-247-0,38.3%,-3.3,+0.2
Oregon St,192-312-0,38.1%,-4.0,-0.2
LIU,32-52-0,38.1%,-5.1,-1.4
E Illinois,188-308-0,37.9%,-4.4,-1.1
Florida Intl,161-265-0,37.8%,-3.6,-0.6
Charl South,153-252-0,37.8%,-3.8,-0.9
Florida A&M,170-283-0,37.5%,-6.0,+0.1
Delaware St,148-248-0,37.4%,-4.3,-0.9
SE Missouri,180-303-0,37.3%,-3.9,-0.5
N Hampshire,139-235-0,37.2%,-5.0,-0.5
UL Monroe,170-292-0,36.8%,-5.1,+0.1
Maine,137-236-0,36.7%,-5.0,+0.7
Miss Val St,181-313-0,36.6%,-6.3,-1.6
Grambling St,150-266-0,36.1%,-6.4,+1.8
Rice,176-313-0,36.0%,-4.3,-0.6
NC A&T,165-294-0,36.0%,-5.3,-0.9
N Illinois,165-300-0,35.5%,-4.1,-0.1
SC Upstate,100-183-0,35.3%,-4.9,-0.7
Loyola Mymt,173-321-0,35.0%,-5.5,-0.5
TN Martin,158-294-0,35.0%,-5.9,-0.7
Binghamton,120-226-0,34.7%,-5.2,-1.1
Cal Poly,165-314-0,34.5%,-4.2,-0.7
Sac State,139-267-0,34.2%,-5.3,+0.2
Portland,161-313-0,34.0%,-5.1,-0.8
Fordham,118-230-0,33.9%,-6.2,-1.0
W Illinois,139-272-0,33.8%,-5.8,-1.2
Le Moyne,6-12-0,33.3%,-2.9,+0.7
Lindenwood,13-26-0,33.3%,-9.6,+0.1
VMI,140-283-0,33.1%,-6.3,-1.5
UC Riverside,123-250-0,33.0%,-5.4,-0.5
Idaho St,143-296-0,32.6%,-4.9,-0.4
Ark Pine Bl,154-321-0,32.4%,-7.7,+0.2
SIU Edward,80-170-0,32.0%,-6.6,-0.7
NJIT,76-163-0,31.8%,-6.1,-1.4
Longwood,100-215-0,31.8%,-7.1,+1.2
TX A&M-Com,13-29-0,31.0%,-6.3,-2.2
Howard,138-315-0,30.5%,-6.8,-1.9
TX-Pan Am,101-238-0,29.8%,-7.7,-1.2
Hsn Christian,78-184-0,29.8%,-7.6,-0.9
Incar Word,50-119-0,29.6%,-7.2,-2.1
Citadel,127-303-0,29.5%,-7.3,-0.8
Presbyterian,86-211-0,29.0%,-7.9,-0.9
Stonehill,11-27-0,29.0%,-7.7,-2.4
Dartmouth,116-291-0,28.5%,-7.1,-0.9
Kennesaw St,94-242-0,28.0%,-7.5,-0.5
Central Ark,78-202-0,27.9%,-7.7,0.0
S Indiana,12-32-0,27.3%,-4.6,-1.5
Maryland ES,101-280-0,26.5%,-8.7,-0.7
Utah Tech,15-45-0,25.0%,-8.6,-0.9
San Jose St,92-285-0,24.4%,-8.7,-1.2
Chicago St,72-305-0,19.1%,-14.2,-2.8
W Georgia,0-1-0,0.0%,-35.0,-9.0
